annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2022-2023,1,99,Total provincial,Total provincial,Total provincial,,219303,32216,13509,8.800908274,176685,2.5790874516,149711,11072,5597,4.6155254383,107808,3.0414277285,69592,16139,5006,17.804785871,68877,1.8554209073,21144,7912
2023-2024,1,99,Total provincial,Total provincial,Total provincial,,210944,33884,12827,9.1577351072,170981,2.740180868,140673,12402,5073,4.9533288075,101472,3.2481448084,70271,16300,4593,17.574385609,69509,1.998634925,21482,7754
2024-2025,1,99,Total provincial,Total provincial,Total provincial,,343962,55407,20573,8.7129368546,278872,2.8512776411,230573,20111,8266,4.8535238502,166701,3.3757324441,113389,24411,6087,16.560932998,112171,2.0718681671,35296,12307
2025-2026,1,99,Total provincial,Total provincial,Total provincial,,325616,55290,19854,8.7186554698,265365,2.7222192546,215561,20242,7759,4.8099720097,156480,3.1857208198,110055,23013,5031,16.374461343,108885,2.0561153383,35048,12095
2026-2027,1,99,Total provincial,Total provincial,Total provincial,,326633,57655,19893,8.9433721511,261620,2.8504865953,217144,21934,8034,4.8754539422,153319,3.3425350558,109489,24538,5658,17.011068737,108301,2.1539059735,35721,11859
2022-2023,1,08,Abitibi-Témiscamingue,Total régional,Total régional,,7078,694,403,5.7963754278,5810,2.9183628323,5859,362,301,4.5999870095,4601,3.2028481127,1219,128,11,11.546695151,1209,1.8357186839,332,102
2022-2023,1,01,Bas-Saint-Laurent,Total régional,Total régional,,8010,1234,314,4.147608094,6947,1.6861054332,5960,545,201,2.9507697614,4925,1.8454010716,2050,43,2,7.6271966125,2022,1.2981078965,689,113
2022-2023,1,03,Capitale-Nationale,Total régional,Total régional,,23621,3585,1407,7.1357792031,19200,1.736460026,15671,1304,515,3.4043597516,11301,2.1472757327,7950,1359,299,14.491134451,7899,1.1487111589,2281,892
2022-2023,1,12,Chaudière-Appalaches,Total régional,Total régional,,14685,2225,565,5.9288794688,12662,1.643512917,11162,932,305,3.1912528619,9140,1.9411793703,3523,706,72,14.602563314,3522,0.8710338192,1293,260
2022-2023,1,09,Côte-Nord,Total régional,Total régional,,6424,654,293,6.2632244534,5109,2.7646810095,5134,359,182,4.1872849846,3861,2.8572530145,1290,200,85,14.525141688,1248,2.4782863693,295,111
2022-2023,1,05,Estrie,Total régional,Total régional,,14259,2154,833,8.1874695319,11947,2.7638117659,9196,647,273,4.6112789377,6901,3.4948745753,5063,925,240,14.682956142,5046,1.7639971705,1507,560
2022-2023,1,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,5617,914,267,5.205408136,5076,1.5233401738,4545,524,178,2.9495697959,4031,1.617320833,1072,159,62,14.769573487,1045,1.1608176502,390,89
2022-2023,1,14,Lanaudière,Total régional,Total régional,,9041,1542,560,9.7824688764,6600,3.2311882997,6139,456,307,5.6240126423,3708,4.1208014953,2902,862,126,18.579423673,2892,2.0905639119,1086,253
2022-2023,1,15,Laurentides,Total régional,Total régional,,11740,1853,857,12.184150743,8802,3.5728615656,7821,626,308,5.9111589879,4905,4.3483144184,3919,1412,579,24.70292301,3897,2.5968296838,1227,549
2022-2023,1,13,Laval,Total régional,Total régional,,5872,998,367,8.9729835093,4420,3.1035165913,3935,291,118,5.3302831427,2486,3.9642844373,1937,412,32,16.373100155,1934,1.9970694014,707,249
2022-2023,1,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,15094,2448,854,7.7474682729,11927,2.9622899258,10085,776,281,4.6415841734,6989,3.6842762834,5009,860,124,14.000780539,4938,1.9404262859,1672,573
2022-2023,1,06,Montréal,Total régional,Total régional,,54534,7112,4013,10.886332018,44913,2.6841737235,34363,1711,1486,5.5861033912,25075,3.3755801374,20171,5438,1958,19.915718578,19838,1.8102441022,5401,2527
2022-2023,1,16,Montérégie,Total régional,Total régional,,23096,4092,1576,11.876036675,16718,3.2541469607,15400,1403,631,5.4511199675,9049,3.8058419899,7696,2623,1082,24.732548799,7669,2.6031770403,2689,945
2022-2023,1,07,Outaouais,Total régional,Total régional,,9219,1143,601,8.1828805245,7126,2.365391602,6869,533,274,3.8350439171,4809,2.3704462697,2350,613,294,20.891514421,2317,2.3549004939,610,327
2022-2023,1,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,11013,1568,599,6.3071625453,9428,2.5832066422,7572,603,237,3.8814620385,6027,2.9356139963,3441,399,40,11.644972553,3401,1.9586964618,965,362
2023-2024,1,08,Abitibi-Témiscamingue,Total régional,Total régional,,6535,719,337,6.2072353991,5631,2.6485623236,5190,382,230,4.6261093449,4294,2.9345919371,1345,163,28,12.308383519,1337,1.729930192,337,107
2023-2024,1,01,Bas-Saint-Laurent,Total régional,Total régional,,7755,1336,325,4.2046285909,6852,1.758921726,5776,632,198,3.02940751,4892,1.9085584174,1979,36,0,7.6346826399,1960,1.3854407596,704,127
2023-2024,1,03,Capitale-Nationale,Total régional,Total régional,,22257,3727,1273,7.4348456416,18612,1.8637454181,14462,1388,453,3.6121776994,10860,2.3327972683,7795,1294,304,14.527010334,7752,1.2066371761,2339,820
2023-2024,1,12,Chaudière-Appalaches,Total régional,Total régional,,13767,2251,620,5.7238112677,12202,1.5744805724,10492,1063,316,3.1697049339,8929,1.8649115554,3275,562,77,13.906310093,3273,0.7821621346,1188,304
2023-2024,1,09,Côte-Nord,Total régional,Total régional,,6038,619,271,6.0266899912,4906,2.3808679848,4798,370,181,3.4081959497,3694,2.4937750406,1240,223,113,16.158572581,1212,2.0367436744,249,90
2023-2024,1,05,Estrie,Total régional,Total régional,,14171,2331,820,8.6901371541,11677,3.2131611287,9159,879,272,5.2153320656,6699,4.1424080294,5012,966,209,15.040045336,4978,1.9626538994,1452,548
2023-2024,1,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,5863,947,276,5.7520359789,5250,1.8850985714,4630,518,180,3.4755454764,4030,2.034647298,1233,248,59,14.300414752,1220,1.3910974499,429,96
2023-2024,1,14,Lanaudière,Total régional,Total régional,,8808,1574,620,10.479194829,6361,3.8488228615,5791,457,330,6.1350202901,3354,4.8843460545,3017,884,134,18.81764851,3007,2.6938029782,1117,290
2023-2024,1,15,Laurentides,Total régional,Total régional,,11126,2038,789,12.46200002,8479,3.9009345966,7213,763,245,6.5252760833,4602,4.8432921677,3913,1414,505,23.405416773,3877,2.7823559167,1275,544
2023-2024,1,13,Laval,Total régional,Total régional,,5499,1071,335,9.3372690994,4164,2.9576590351,3466,301,81,5.4189275983,2137,3.8352237041,2033,408,28,16.017530606,2027,2.0324712218,770,254
2023-2024,1,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,14017,2539,710,7.2780464991,11285,2.7255802934,9007,829,228,4.2057449144,6363,3.3529107077,5010,754,60,12.801443779,4922,1.9145881304,1710,482
2023-2024,1,06,Montréal,Total régional,Total régional,,52833,7609,3958,11.738994305,43116,2.8050243207,32046,1981,1356,6.2681322595,22652,3.6653216665,20787,5774,1821,20.173075467,20464,1.8527444401,5628,2602
2023-2024,1,16,Montérégie,Total régional,Total régional,,22465,4227,1376,11.415085714,16447,3.6396994386,14845,1579,528,5.9537468283,8871,4.2167386553,7620,2514,833,22.054662584,7576,2.9640242946,2648,848
2023-2024,1,07,Outaouais,Total régional,Total régional,,9072,1259,512,10.497854816,6768,3.3625838915,6614,605,224,5.1056932685,4368,3.3996170381,2458,770,397,25.007112942,2400,3.2951835648,654,288
2023-2024,1,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,10738,1637,605,6.0404215041,9231,2.6391142166,7184,655,251,3.8009485199,5727,2.9729164484,3554,290,25,10.567257159,3504,2.0935419045,982,354
2024-2025,1,08,Abitibi-Témiscamingue,Total régional,Total régional,,11220,1303,590,5.8189185235,9545,2.928838659,9203,713,437,4.7770834692,7542,3.2356872993,2017,187,15,10.572516939,2003,1.7734455262,590,153
2024-2025,1,01,Bas-Saint-Laurent,Total régional,Total régional,,13468,2264,543,4.5017512911,11792,2.0195383641,10375,1106,337,3.2681417135,8729,2.2012034916,3093,114,6,8.639707763,3063,1.5018253709,1158,206
2024-2025,1,03,Capitale-Nationale,Total régional,Total régional,,37336,6279,2095,7.2386831819,31269,1.9773805882,24655,2323,768,3.8121225467,18660,2.4493257711,12681,2018,356,13.900764442,12609,1.278951124,3956,1327
2024-2025,1,12,Chaudière-Appalaches,Total régional,Total régional,,23496,3692,1030,6.3734737473,20048,2.1996802951,18473,1791,550,3.7769991639,15032,2.6010344229,5023,988,265,15.922483299,5016,0.9968981481,1901,480
2024-2025,1,09,Côte-Nord,Total régional,Total régional,,10003,1158,515,6.4280889067,8018,3.1118731465,7905,667,328,4.2969907232,5969,3.2848721636,2098,351,133,14.457798697,2049,2.6079048045,491,187
2024-2025,1,05,Estrie,Total régional,Total régional,,22418,3611,1249,8.2611798555,18522,3.5922360646,14696,1251,474,5.6956691163,10856,4.6012625635,7722,1136,119,13.143690322,7666,2.1633302896,2360,775
2024-2025,1,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,9205,1538,374,4.5802215282,8257,1.9300201513,7485,962,244,3.3415480591,6554,2.0582227562,1720,131,4,9.9706115956,1703,1.4366320872,576,130
2024-2025,1,14,Lanaudière,Total régional,Total régional,,13924,2547,939,9.928743257,10441,3.2836806819,9085,763,500,5.4012554577,5621,3.9967323924,4839,1441,184,18.428893424,4820,2.4521322038,1784,439
2024-2025,1,15,Laurentides,Total régional,Total régional,,18186,3290,1262,11.97103923,14116,3.5681439501,11682,1123,409,6.0698781126,7652,4.45225159,6504,2113,728,22.570264965,6464,2.5215487057,2167,853
2024-2025,1,13,Laval,Total régional,Total régional,,8456,1583,547,10.31710958,6609,3.3996411879,5225,469,112,5.9614050505,3384,4.4311252298,3231,773,62,17.360921455,3225,2.317302584,1114,435
2024-2025,1,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,22984,4087,1240,7.0805918731,18520,2.933474922,14793,1332,364,4.6307814507,10450,3.710232589,8191,836,59,11.504965647,8070,1.9276363073,2755,876
2024-2025,1,06,Montréal,Total régional,Total régional,,84863,12276,6066,10.54059526,69507,2.5880759772,51957,3232,2144,5.3232397677,36984,3.3315287917,32906,8664,2445,18.77855002,32523,1.7426478526,9044,3922
2024-2025,1,16,Montérégie,Total régional,Total régional,,35513,6781,2391,11.358943618,25691,3.8890197497,21925,2197,882,5.9261778918,12279,4.678364009,13588,4010,1287,20.125015782,13412,3.1663566002,4584,1509
2024-2025,1,07,Outaouais,Total régional,Total régional,,15152,2155,860,9.533897047,11449,3.8100206956,10923,981,362,5.2570149125,7359,3.7330950386,4229,1213,407,20.58057086,4090,3.9484304537,1174,498
2024-2025,1,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,17738,2843,872,6.259850384,15088,2.9922267144,12191,1201,355,4.2009958166,9630,3.4098429387,5547,436,17,10.784727981,5458,2.2553919323,1642,517
2025-2026,1,08,Abitibi-Témiscamingue,Total régional,Total régional,,10325,1313,524,6.2948021254,8600,3.0693691214,8277,728,393,5.0222791068,6592,3.4063586755,2048,229,10,11.437708876,2008,1.9630767209,585,131
2025-2026,1,01,Bas-Saint-Laurent,Total régional,Total régional,,12400,2347,497,5.097503853,10781,2.185232482,9361,1176,298,3.5100709504,7778,2.3717226294,3039,226,13,9.9872568645,3003,1.7022087172,1171,199
2025-2026,1,03,Capitale-Nationale,Total régional,Total régional,,36273,6488,2011,7.1058696628,30109,1.9656430801,23983,2447,722,3.8029544191,17908,2.3938708026,12290,1696,247,13.551257481,12201,1.3371124635,4041,1289
2025-2026,1,12,Chaudière-Appalaches,Total régional,Total régional,,22155,3824,978,6.642186765,19415,1.9508650957,17028,1860,527,3.7579431427,14292,2.2975841769,5127,1113,211,16.221453471,5123,0.9835980437,1964,451
2025-2026,1,09,Côte-Nord,Total régional,Total régional,,8597,1014,501,8.6105429543,7348,2.8910716068,6637,565,292,7.148602615,5413,3.048058378,1960,341,77,13.561001134,1935,2.451914298,449,209
2025-2026,1,05,Estrie,Total régional,Total régional,,21082,3744,1183,8.7071399377,17388,3.2827802539,13591,1331,416,5.3947978442,9945,4.1941618904,7491,1398,220,14.716756997,7443,2.0650333274,2413,767
2025-2026,1,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,8583,1521,342,5.2107220021,7618,1.8756519282,6844,936,242,3.3238977775,5903,2.0156809155,1739,264,51,12.636498307,1715,1.3936746032,585,100
2025-2026,1,14,Lanaudière,Total régional,Total régional,,14464,2664,916,8.3897657594,11209,2.5856108187,9707,869,472,4.7484210707,6470,3.1031621587,4757,1038,54,15.820191005,4739,1.8790150876,1795,444
